SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount
1,977,4,2023-05-24,1,93.99
2,214,64,2022-01-17,4,144.48
3,775,14,2023-11-21,5,419.9
4,583,5,2022-11-03,2,108.12
5,531,11,2023-04-02,3,233.52
6,459,2,2023-10-13,2,84.0
7,46,77,2023-02-16,4,228.04
8,614,19,2023-02-28,3,133.23
9,994,32,2022-08-04,4,258.76
10,245,56,2023-06-09,4,217.08
11,737,87,2023-03-29,4,182.12
12,777,22,2022-11-10,5,488.5
13,953,19,2022-02-26,5,222.05
14,440,42,2023-04-02,1,52.91
15,316,47,2022-04-13,3,290.22
16,553,21,2022-08-10,3,158.16
17,208,86,2022-01-19,1,68.79
18,341,29,2022-11-19,1,78.92
19,387,83,2023-05-21,4,382.6
20,89,95,2023-05-17,3,151.86
21,689,66,2023-04-27,1,61.43
22,162,48,2022-10-23,4,322.4
23,432,23,2022-03-02,5,113.4
24,115,75,2023-08-01,2,67.7
25,802,89,2023-06-17,3,296.4
26,995,85,2023-08-25,4,235.88
27,794,13,2023-10-04,5,228.05
28,775,90,2023-02-07,5,88.3
29,113,79,2023-02-02,5,134.45
30,889,48,2022-04-28,1,80.6
31,131,77,2023-06-03,3,171.03
32,361,62,2022-08-31,4,317.2
33,146,64,2022-11-28,2,72.24
34,150,100,2022-08-15,5,243.6
35,923,10,2022-02-08,2,82.24
36,934,49,2023-05-27,1,76.96
37,670,33,2023-10-16,5,300.1
38,308,13,2022-04-05,5,228.05
39,585,95,2023-03-31,5,253.1
40,808,12,2023-12-25,5,231.95
41,573,66,2022-04-30,5,307.15
42,178,59,2022-03-02,4,53.04
43,759,100,2022-11-07,1,48.72
44,239,30,2022-04-14,5,273.0
45,225,95,2022-02-07,5,253.1
46,758,17,2023-05-03,5,252.55
47,718,87,2023-07-23,1,45.53
48,612,21,2022-12-20,5,263.6
49,709,33,2022-12-04,3,180.06
50,1,7,2022-01-12,3,252.48
51,189,5,2023-04-22,1,54.06
52,62,100,2023-02-08,3,146.16
53,306,75,2023-12-10,5,169.25
54,555,97,2022-09-24,4,241.96
55,516,48,2022-04-26,3,241.8
56,627,47,2022-10-18,4,386.96
57,559,69,2023-06-20,3,191.64
58,759,61,2022-04-30,4,197.84
59,593,69,2022-07-26,5,319.4
60,843,17,2022-12-15,3,151.53
61,703,7,2023-12-03,5,420.8
62,710,69,2022-09-21,2,127.76
63,715,3,2023-01-24,4,169.16
64,277,15,2022-07-10,3,152.76
65,488,40,2022-02-13,3,68.85
66,42,13,2022-01-03,4,182.44
67,48,1,2023-01-07,4,245.44
68,921,14,2022-03-21,4,335.92
69,860,44,2023-06-14,3,91.05
70,153,7,2023-10-10,3,252.48
71,713,4,2022-07-15,2,187.98
72,520,91,2023-12-24,4,393.68
73,755,100,2022-08-23,5,243.6
74,205,54,2023-03-15,4,142.68
75,331,33,2022-06-09,4,240.08
76,313,88,2022-09-19,5,155.25
77,2,95,2022-06-13,2,101.24
78,554,82,2022-06-14,4,105.72
79,131,38,2022-02-20,2,183.76
80,773,94,2022-08-01,5,327.5
81,304,37,2023-02-11,4,44.96
82,549,22,2023-08-09,5,488.5
83,399,77,2023-03-29,1,57.01
84,367,23,2022-04-19,4,90.72
85,223,17,2022-09-16,3,151.53
86,89,100,2023-09-15,5,243.6
87,65,70,2023-04-22,3,250.23
88,34,6,2023-01-20,3,97.35
89,922,45,2023-05-26,3,266.49
90,447,56,2022-02-14,1,54.27
91,219,47,2023-10-11,3,290.22
92,748,23,2022-04-06,1,22.68
93,904,37,2022-04-25,1,11.24
94,325,68,2022-01-03,1,78.98
95,560,91,2023-06-25,1,98.42
96,249,80,2022-09-05,3,211.68
97,473,51,2022-02-12,3,54.96
98,531,3,2023-05-06,2,84.58
99,791,22,2022-02-24,3,293.1
100,865,22,2022-10-04,5,488.5
101,6,94,2022-06-03,2,131.0
102,636,59,2023-03-21,4,53.04
103,396,43,2022-04-14,4,365.2
104,963,5,2022-02-14,2,108.12
105,871,47,2022-01-23,1,96.74
106,166,1,2023-01-04,2,122.72
107,612,47,2022-04-17,2,193.48
108,33,95,2022-11-16,3,151.86
109,639,51,2023-01-28,1,18.32
110,260,79,2023-11-13,4,107.56
111,219,45,2023-01-22,4,355.32
112,512,61,2023-01-11,1,49.46
113,787,96,2022-03-12,1,87.99
114,433,44,2023-12-02,1,30.35
115,340,36,2023-12-26,4,75.92
116,961,14,2022-04-11,3,251.94
117,659,88,2023-07-03,2,62.1
118,896,80,2023-10-12,3,211.68
119,34,56,2023-02-06,4,217.08
120,151,76,2022-07-16,5,294.65
121,466,98,2022-03-04,3,187.44
122,444,84,2022-12-23,5,455.2
123,414,52,2023-10-24,3,251.16
124,975,70,2022-10-03,1,83.41
125,160,26,2022-09-05,5,76.75
126,557,50,2023-12-11,3,144.27
127,932,15,2023-07-30,4,203.68
128,557,56,2023-07-05,5,271.35
129,83,69,2023-07-24,4,255.52
130,689,91,2023-12-17,4,393.68
131,50,12,2023-01-15,5,231.95
132,348,85,2023-09-19,4,235.88
133,567,34,2023-05-31,1,36.25
134,350,97,2022-06-14,5,302.45
135,366,87,2022-09-16,2,91.06
136,276,57,2023-01-30,1,95.78
137,187,6,2022-03-28,1,32.45
138,239,75,2022-04-19,1,33.85
139,46,91,2022-05-24,1,98.42
140,997,100,2022-04-03,1,48.72
141,900,64,2023-07-15,5,180.6
142,84,44,2022-06-29,3,91.05
143,638,35,2023-09-10,1,81.61
144,681,94,2022-08-04,5,327.5
145,239,65,2022-02-15,4,147.68
146,705,50,2023-07-29,3,144.27
147,13,27,2023-07-31,3,154.14
148,474,95,2023-10-13,2,101.24
149,354,73,2022-09-20,4,334.8
150,409,24,2022-10-16,4,355.24
151,268,6,2023-06-25,2,64.9
152,186,50,2022-09-26,2,96.18
153,505,12,2023-07-17,1,46.39
154,895,79,2022-09-03,1,26.89
155,980,92,2022-11-04,5,259.15
156,12,17,2023-12-23,2,101.02
157,547,74,2022-03-17,5,136.6
158,528,38,2022-06-08,5,459.4
159,779,83,2023-10-29,1,95.65
160,173,16,2023-03-04,1,55.51
161,899,8,2023-04-30,1,87.13
162,809,9,2022-05-25,5,231.55
163,997,93,2022-01-12,2,47.14
164,122,4,2023-11-25,2,187.98
165,741,14,2022-10-26,1,83.98
166,744,85,2023-11-26,2,117.94
167,891,29,2022-12-28,2,157.84
168,131,33,2022-10-13,1,60.02
169,787,93,2023-11-27,5,117.85
170,468,41,2022-11-04,4,81.16
171,914,51,2022-05-18,5,91.6
172,838,22,2023-02-18,4,390.8
173,516,46,2022-08-04,1,94.27
174,744,32,2022-10-18,4,258.76
175,498,4,2022-03-29,2,187.98
176,593,72,2022-08-23,4,60.96
177,16,40,2022-01-19,5,114.75
178,384,16,2023-08-18,2,111.02
179,65,72,2023-02-26,4,60.96
180,515,7,2023-07-11,3,252.48
181,822,94,2023-12-17,1,65.5
182,285,57,2023-09-30,2,191.56
183,92,31,2022-06-19,4,218.08
184,965,87,2023-07-04,3,136.59
185,322,59,2023-09-08,5,66.3
186,401,40,2023-07-24,4,91.8
187,946,67,2022-02-08,1,19.99
188,94,79,2022-01-08,1,26.89
189,558,73,2022-05-09,2,167.4
190,542,49,2023-05-22,5,384.8
191,755,44,2022-03-27,2,60.7
192,791,49,2022-06-28,5,384.8
193,684,4,2023-05-25,3,281.97
194,516,37,2022-04-04,3,33.72
195,400,85,2023-11-18,1,58.97
